type;id;username;text;date
comment;17955474074232200;jonyfontele;Inovador!!! 👏👏👏;26/11/2022 00:30
comment;17929506602561800;jonyfontele;De muito interesse 👏👏👏;26/11/2022 03:15
comment-answer;17907867977665400;m4no_mateus;@jonyfontele verdade;26/11/2022 04:24
comment;17995152289594100;jonyfontele;Wonderful!;26/11/2022 04:15
comment-answer;17976392821853600;m4no_mateus;@jonyfontele também acho!!!;26/11/2022 04:25
comment;17964412864916900;jonyfontele;Clever!;26/11/2022 04:16
comment-answer;17933931524432700;m4no_mateus;@jonyfontele confirmou!!;26/11/2022 04:24
comment;17953020029115900;jonyfontele;Smart!;26/11/2022 04:16
comment-answer;17983736131734000;m4no_mateus;@jonyfontele kkkkkkkkkkkk;26/11/2022 04:17
comment-answer;17941428095440200;jonyfontele;@m4no_mateus 😂;26/11/2022 04:18
comment;17967493915983100;jonyfontele;🥭🥭🥭;26/11/2022 06:14
comment-answer;17991004117567400;m4no_mateus;@jonyfontele 😅😅😅😅;26/11/2022 06:29
comment;17963961773079700;matheuslogos;A melhor de todas!;25/11/2022 21:31
comment-answer;17942338178314800;colecionamos__pessoas_memorias;@matheuslogos 👏👏;26/11/2022 04:14
comment;17968928998948100;goretibrana;Incrível! Parabéns! ❤️;25/11/2022 21:21
comment;18220073581160800;adajanecunha;Um projeto sensacional!!!👏🏻👏🏻👏🏻👏🏻🎯;25/11/2022 23:08
comment;18167310301252000;klecianosilvaa;👏👏👏👏 muito show;25/11/2022 21:49
comment;17987186557715000;mateus_ferndes03;A melhor merece demais o prêmio!!! 👏🏼👏🏼;25/11/2022 21:36
comment-answer;17981166151665600;sulanita_feitosa;Quer inovação é com a memorial. 👏👏👏;26/11/2022 00:58
comment;17958391208033700;samueldfalcao;👏👏👏👏👏👏👏👏👏 a melhor;25/11/2022 21:53
comment;18004210594481200;sandrabrana;Máximo respeito ! Mandou bem prof !! 🌟✊🏻;25/11/2022 21:19
comment;17980785394773300;manoalencar7;Sensacional super merecido! 👏👏👏👏;25/11/2022 22:01
comment;17980740565775100;liviacfirmino;Que inovação 👏 parabéns a toda os envolvidos! Merece muito;25/11/2022 21:40
comment;17964000283949000;edu_prt;Equipe maravilhosa 👏;26/11/2022 00:37
comment-answer;18009908479493400;m4no_mateus;@edu_prt  os melhores !!;26/11/2022 06:28
comment;17986575877656400;ingridfaco_;eitaaaa👏👏;25/11/2022 22:25
comment;17958689867174900;monicalimachaves;Parabéns pelo projeto inovador! 👏🏼👏🏼👏🏼;25/11/2022 21:39
comment;17919809984632800;bellnunez;Melhor sacada de todas eternizando momentos.👏👏👏👏❤️;26/11/2022 00:46
comment;17917329545534700;waancarvalho;Torcendo pela Mememoria!! 🚀🚀;25/11/2022 21:56
comment;17971600462815900;flavioocastro;Inovação!!! 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 tem que respeitar;25/11/2022 21:33
comment;18009451609498000;ludmoniz;Meu voto eh dele 🙌👏🏼👏🏼👏🏼👏🏼🔝🔝🔝;26/11/2022 00:18
comment;17941415378521600;fabianalimacoelho;O melhor! 👏;25/11/2022 21:23
comment;17894356235713700;mikaelaferreira1;Eternizando momentos e sentimentos com a ajuda da tecnologia 👏🏻;25/11/2022 21:36
comment;18205699642202300;bprenatosoares;Top! Parabéns!!!👏👏👏;25/11/2022 21:47
comment;17912241746652600;brunaabreuu__;a melhor! 👏👏👏;25/11/2022 21:34
comment;17953549136265100;barbaracfo;Parabéns aos envolvidos! 👏;25/11/2022 22:44
comment;17907131375673400;anagomesfulco.adv;Muito bom!!! 💯🔝;25/11/2022 23:06
comment;18236208040151100;ronaldootoch;Fantástica ideia !;25/11/2022 21:25
comment-answer;18042895459388400;colecionamos__pessoas_memorias;@ronaldootoch obrigado !;26/11/2022 03:31
comment;17867411243775800;adamsgomes;Merece! Parabéns pela ideia e execução!;25/11/2022 22:40
comment-answer;17993180284552600;colecionamos__pessoas_memorias;@adamsgomes top;25/11/2022 23:41
comment;18265351339105300;anagomesfulco.adv;A melhor do Brasil !!! 🇧🇷;25/11/2022 23:24
comment;17994829228584600;victorbrasiladv;Ideia sensacional!!! 🙌👏;25/11/2022 22:40
comment;18264644668111600;lopiello;Ideia sensacional 👏👏;25/11/2022 22:23
comment-answer;17965801031041200;rafaelloviana;@lopiello 👏👏;26/11/2022 00:43
comment;17964715883076400;jeffport0;Parabéns aos desenvolvedores!!!;25/11/2022 21:31
comment;17960341886130900;nay_nobreg;A melhor 👏👏;25/11/2022 22:14
comment;18017635765461600;dianabenevides80;Esse é top!👏👏👏👏;26/11/2022 00:14
comment;18059143750356600;ticimendes;👏👏👏Parabéns !!!;26/11/2022 00:21
comment;17959408655164100;aldianapinto_;👏👏👏;25/11/2022 21:47
comment;17987331727638100;_leandro.filho;Melhor ideia 👏🏻👏🏻👏🏻;25/11/2022 22:06
comment;18331666273048700;colecionamos__pessoas_memorias;😍;25/11/2022 23:54
comment-answer;17972369563795600;rafaelloviana;@colecionamos__pessoas_memorias 👏👏;26/11/2022 00:43
comment;18191758756232200;abreulucass;Inovador e que faz diferença! 😍😍;26/11/2022 00:03
comment;17930712065594800;valeriaduarte2;Muito topppp 👏👏👏👏👏;25/11/2022 21:59
comment;17858687216812000;monicalimachaves;👏👏👏;25/11/2022 23:19
comment;18261186814114900;ingridfaco_;vai bombar 🔥;25/11/2022 22:25
comment;17890114745734000;jorge_rodrigues_p_n;👏👏👏👏👏👏👏;25/11/2022 21:42
comment;18006420562507200;nandafrota;Bacana 👏👏👏;26/11/2022 00:08
comment;18225602260081300;euanalima;👏👏👏👏;25/11/2022 22:39
comment;17982441703699200;analimachaves;Excelente!!!! 👏👏👏👏;26/11/2022 00:24
comment;18238282315147900;ivani.almeidas;SE VOCÊ AVHAR MAIS OTIMISTA QUE ESTÁ PARABÉNS VOCÊ GANHOU O PRÊMIO MÁXIMO MUNDIAL DE OTIMISTA;25/11/2022 21:40
comment;17887605461742800;niveaalmeiida;👏🏻👏🏻👏🏻👏🏻;25/11/2022 21:50
comment;18312249778071900;gisellelavi;A melhor 👏👏👏👏;25/11/2022 21:37
comment;18167047921248400;paulalimacb;Parabéns 🍾 ❤️🙌;25/11/2022 23:17
comment;17976132745862600;lucianacolares;Inovador 👏🏻👏🏻👏🏻;26/11/2022 00:02
comment;17973467221909300;nandafrota;Campeão 👏;26/11/2022 00:08
comment;18327116332041200;luccasbarros.lb;Incrivelmente a Melhor 👏🏾;25/11/2022 23:05
comment;17990640322623200;edrodriguescs;na torcida boraaaa;25/11/2022 23:45
comment-answer;17956418444065400;biawalravenn;@edrodriguescs 👏👏;25/11/2022 23:51
comment;17964683114044100;georgia_ramoss;Sucesso ao projeto!!!;26/11/2022 00:10
comment;17849123864878600;charlyscfo;A melhor!;25/11/2022 21:21
comment-answer;17947013540215300;rejane.17cf;💡🥇👏🏻👏🏻👏🏻🤝🏻👊🏻;26/11/2022 00:28
comment;17972421562803500;colecionamos__pessoas_memorias;👏;25/11/2022 23:40
comment-answer;17954695046245900;rafaelloviana;@colecionamos__pessoas_memorias 👏👏;26/11/2022 00:43
comment-answer;17913778115572300;colecionamos__pessoas_memorias;@rafaelloviana excelente !;26/11/2022 02:36
comment;17932382831533200;nandafrota;Top demais !!!;26/11/2022 00:08
comment;17990459668567500;monicalimachaves;A melhor!;25/11/2022 23:20
comment;18011850727485100;victoorglima;A melhor de todas;25/11/2022 21:42
comment;17938427018524600;natalia.santosv;Parabéns Mememoria 👏🏻👏🏻👏🏻👏🏻;25/11/2022 23:22
comment;17969258836856200;nicolascastroo;Sansacional! Melhor equipe!;25/11/2022 21:31
comment;17994544483591700;kalinebrito;👏👏👏👏;25/11/2022 23:00
comment;17974357132894100;colecionamos__pessoas_memorias;👏;25/11/2022 23:41
comment;18331644919046800;anaclaudiaseguros;Show👏👏👏;25/11/2022 23:17
comment;17984976925708500;colecionamos__pessoas_memorias;❤️;25/11/2022 23:42
comment;17927173445610800;colecionamos__pessoas_memorias;👏;26/11/2022 00:45
comment;17848414952881200;analimachaves;😍😍😍😍😍;26/11/2022 00:25
comment;17961415400150100;colecionamos__pessoas_memorias;❤️;25/11/2022 23:54
